,fighter_name,Height_cm,Weight_kg,Reach_cm,Stance,SLpM,Str_Acc%,Strikes_absorbed/m,Str_Def%,TD_Avg,TD_Def%,Sub_Avg,weight_class,TD_Acc
1773,Matt Serra,167.64000000000001,77,68,Orthodox,1.98,39.0,2.64,46.0,2.05,38.0,0.9,Middleweight,20.0
1774,Mounir Lazzez,185.42,77,76,Southpaw,5.69,55.0,4.78,45.0,3.41,60.0,0.0,Middleweight,100.0
1775,Chatt Lavender,172.72,77,73,Orthodox,0.0,43.02,0.0,52.02,0.0,60.38,0.0,Middleweight,47.04
1776,Ryan Larson,180.03,77,73,Orthodox,0.0,43.02,0.0,52.02,0.0,60.38,0.0,Middleweight,47.04
1777,Brock Larson,180.34,77,71,Southpaw,1.39,46.0,1.5,55.0,2.67,43.0,2.0,Middleweight,34.0
1778,Luigi Fioravanti,172.72,77,70,Southpaw,2.23,42.0,2.21,69.0,3.76,67.0,0.9,Middleweight,63.0
1779,Jeff Joslin,182.88,77,73,Southpaw,2.17,39.0,1.57,65.0,0.5,64.0,0.5,Middleweight,33.0
1780,Jesse Jones,175.26,77,73,Orthodox,0.0,43.02,0.0,52.02,0.0,60.38,0.0,Middleweight,47.04
1781,Amilcar Alves,182.88,77,73,Southpaw,0.5,46.0,2.02,30.0,0.0,53.0,0.0,Middleweight,47.04
1782,Zach Light,172.72,77,73,Orthodox,0.81,33.0,1.9,48.0,1.36,60.38,0.0,Middleweight,100.0
1783,Jae Suk Lim,175.26,77,73,Orthodox,2.43,50.0,4.05,37.0,12.16,100.0,0.0,Middleweight,100.0
1784,Hyun Gyu Lim,190.5,77,77,Orthodox,4.45,41.0,5.07,51.0,0.23,73.0,0.2,Middleweight,100.0
1785,Douglas Lima,185.42,77,73,Orthodox,1.92,36.0,2.84,60.0,0.6,46.0,0.0,Middleweight,100.0
1786,Ryan Keenan,177.8,77,73,Orthodox,0.0,43.02,0.0,52.02,0.0,60.38,0.0,Middleweight,47.04
1787,JP Felty,180.03,77,73,Orthodox,0.0,43.02,0.0,52.02,0.0,60.38,0.0,Middleweight,47.04
1788,Brodie Farber,185.42,77,73,Orthodox,1.69,45.0,2.17,53.0,0.9,20.0,0.9,Middleweight,50.0
1789,Carlos Eduardo Rocha,177.8,77,73,Orthodox,1.24,34.0,1.85,55.0,0.0,52.0,1.4,Middleweight,47.04
1790,Dillon Smith,182.88,77,73,Orthodox,0.0,43.02,0.0,52.02,0.0,60.38,0.0,Middleweight,47.04
1791,Claudio Silva,180.34,77,71,Southpaw,3.14,42.0,3.12,43.0,3.01,66.0,1.6,Middleweight,28.0
1792,Wagner Silva,182.88,77,73,Orthodox,1.69,29.0,2.87,65.0,0.0,58.0,0.0,Middleweight,47.04
1793,Jesse Finney,182.88,77,73,Orthodox,0.0,43.02,0.0,52.02,0.0,60.38,0.0,Middleweight,47.04
1794,Manuel Rodriguez,175.26,77,73,Orthodox,0.81,33.0,3.23,38.0,9.09,60.38,0.0,Middleweight,75.0
1795,Daniel Rodriguez,185.42,77,74,Southpaw,7.68,46.0,6.12,57.0,1.34,90.0,0.3,Middleweight,62.0
1796,Ben Earwood,172.72,77,73,Southpaw,0.5,55.0,0.2,33.0,3.0,60.38,0.0,Middleweight,100.0
