,fighter_name,Height_cm,Weight_kg,Reach_cm,Stance,SLpM,Str_Acc%,Strikes_absorbed/m,Str_Def%,TD_Avg,TD_Def%,Sub_Avg,weight_class,TD_Acc
565,Roland Delorme,175.26,61,71,Orthodox,2.28,44.0,4.32,40.0,2.51,42.0,1.6,Lightweight,34.0
566,Kelly Velasco,175.26,61,69,Orthodox,2.27,35.0,5.67,47.0,0.0,100.0,0.0,Lightweight,43.63
567,Kerry Vera,170.18,61,69,Orthodox,0.0,41.98,0.0,54.52,0.0,62.15,0.0,Lightweight,43.63
568,Peggy Morgan,185.42,61,69,Orthodox,2.27,23.0,8.2,33.0,0.0,50.0,0.0,Lightweight,43.63
569,Dominick Cruz,172.72,61,68,Southpaw,3.65,32.0,2.42,72.0,2.99,83.0,0.1,Lightweight,46.0
570,Royston Wee,170.18,61,67,Orthodox,1.1,60.0,2.45,49.0,3.38,62.15,0.0,Lightweight,81.0
571,Jonathan Martinez,172.72,61,70,Southpaw,4.27,46.0,3.81,58.0,0.48,63.0,0.0,Lightweight,37.0
572,Mana Martinez,177.8,61,70,Southpaw,2.11,62.0,1.27,50.0,0.0,62.15,6.3,Lightweight,43.63
573,Ken Stone,172.72,61,71,Southpaw,3.85,49.0,2.9,48.0,1.24,60.0,0.6,Lightweight,33.0
574,Ryan Bastianelli,165.1,61,69,Orthodox,0.0,41.98,0.0,54.52,0.0,62.15,0.0,Lightweight,43.63
575,Shayna Baszler,170.18,61,69,Orthodox,2.49,30.0,6.36,51.0,0.67,44.0,1.3,Lightweight,18.0
576,Batgerel Danaa,170.18,61,70,Southpaw,5.66,38.0,2.61,58.0,0.0,57.0,0.0,Lightweight,43.63
577,Terrion Ware,172.72,61,71,Orthodox,4.02,32.0,6.07,50.0,0.5,44.0,0.0,Lightweight,22.0
578,Melissa Gatto,165.1,61,69,Orthodox,0.0,41.98,0.0,54.52,0.0,62.15,0.0,Lightweight,43.63
579,Javi Alanis,167.64000000000001,61,69,Orthodox,0.0,41.98,0.0,54.52,0.0,62.15,0.0,Lightweight,43.63
580,Irene Aldana,175.26,61,68,Orthodox,5.52,38.0,5.97,61.0,0.23,84.0,0.1,Lightweight,50.0
581,Tim Gorman,165.1,61,69,Southpaw,2.73,31.0,5.57,46.0,1.0,33.0,0.0,Lightweight,9.0
582,Nick Denis,170.18,61,69,Southpaw,6.54,53.0,5.42,36.0,2.8,80.0,0.0,Lightweight,100.0
583,Brandon Davis,177.8,61,72,Southpaw,4.65,35.0,4.33,60.0,0.71,56.0,0.1,Lightweight,45.0
584,Sara McMann,167.64000000000001,61,66,Southpaw,2.32,45.0,1.94,48.0,4.41,50.0,0.5,Lightweight,65.0
585,Marlon Moraes,167.64000000000001,61,67,Orthodox,3.38,39.0,4.11,56.0,1.0,66.0,0.4,Lightweight,41.0
586,Hitomi Akano,162.56,61,69,Southpaw,0.59,45.0,2.58,55.0,0.0,8.0,0.5,Lightweight,43.63
587,Johnny Eduardo,170.18,61,71,Orthodox,2.89,38.0,3.34,63.0,0.0,62.0,0.5,Lightweight,43.63
588,Scott Ettling,172.22,61,69,Orthodox,0.0,41.98,0.54,83.0,8.04,62.15,0.0,Lightweight,100.0
589,Sijara Eubanks,162.56,61,67,Southpaw,4.52,43.0,3.69,57.0,1.88,65.0,0.4,Lightweight,46.0
590,Shingo Kohara,167.64000000000001,61,69,Orthodox,0.0,41.98,0.0,54.52,0.0,62.15,0.0,Lightweight,43.63
591,Marcus Kowal,172.22,61,69,Orthodox,0.0,41.98,0.0,54.52,0.0,62.15,0.0,Lightweight,43.63
592,Damian Stasiak,165.1,61,70,Orthodox,1.86,36.0,3.1,52.0,2.64,43.0,0.6,Lightweight,35.0
593,Justin Robbins,165.1,61,69,Orthodox,0.67,37.0,3.2,47.0,0.0,62.15,0.0,Lightweight,43.63
594,Junya Kudo,172.22,61,69,Orthodox,1.85,71.0,4.44,33.0,0.0,62.15,0.0,Lightweight,43.63
595,Pannie Kianzad,170.18,61,66,Southpaw,5.14,49.0,3.62,57.0,0.22,83.0,0.2,Lightweight,14.0
596,Ricky Steele,175.26,61,74,Southpaw,4.07,70.0,2.93,50.0,0.0,91.0,0.0,Lightweight,43.63
597,Aljamain Sterling,170.18,61,71,Southpaw,4.84,49.0,2.2,63.0,1.77,41.0,0.9,Lightweight,24.0
598,Dustin Kimura,170.18,61,71,Orthodox,1.33,21.0,3.82,51.0,0.93,50.0,2.2,Lightweight,37.0
599,Shawn Bunch,165.1,61,69,Orthodox,0.0,41.98,1.55,55.0,0.0,50.0,0.0,Lightweight,43.63
600,Wuliji Buren,175.26,61,69,Orthodox,1.63,42.0,2.96,56.0,3.38,71.0,0.4,Lightweight,42.0
601,Eduardo Bustillos,172.72,61,69,Orthodox,2.61,59.0,6.22,35.0,0.0,100.0,0.0,Lightweight,43.63
602,Kelly Kobold,167.64000000000001,61,69,Orthodox,2.33,21.0,4.11,59.0,1.67,62.15,0.0,Lightweight,11.0
603,Ashlee Evans-Smith,172.72,61,67,Orthodox,4.54,34.0,4.69,55.0,1.1,66.0,0.0,Lightweight,23.0
604,Tonya Evinger,170.18,61,70,Orthodox,1.16,42.0,4.02,38.0,0.93,33.0,0.9,Lightweight,30.0
605,Irwin Rivera,167.64000000000001,61,67,Southpaw,3.36,44.0,5.07,57.0,1.0,70.0,0.0,Lightweight,16.0
606,Brad Katona,167.64000000000001,61,64,Southpaw,3.33,51.0,2.98,57.0,1.25,47.0,0.0,Lightweight,22.0
607,Julija Stoliarenko,170.18,61,66,Orthodox,2.1,34.0,3.87,50.0,0.0,66.0,0.5,Lightweight,43.63
608,Francisco Figueiredo,167.64000000000001,61,69,Southpaw,1.93,54.0,2.07,76.0,4.0,100.0,0.0,Lightweight,66.0
609,Edwin Figueroa,170.18,61,69,Orthodox,2.57,39.0,3.06,51.0,0.2,37.0,0.6,Lightweight,100.0
610,Shanna Young,170.18,61,65,Orthodox,3.05,57.0,5.28,45.0,0.0,54.0,0.0,Lightweight,43.63
611,Jan Finney,172.72,61,69,Orthodox,2.16,28.0,8.75,42.0,0.77,25.0,0.0,Lightweight,11.0
612,Rosi Sexton,160.02,61,69,Orthodox,3.31,39.0,7.42,41.0,0.75,80.0,0.0,Lightweight,10.0
613,Roshaun Jones,172.72,61,69,Orthodox,0.0,41.98,0.0,54.52,0.0,62.15,0.0,Lightweight,43.63
614,Patrick Williams,172.72,61,73,Orthodox,4.12,51.0,4.12,52.0,2.71,100.0,0.5,Lightweight,41.0
615,Scott Jorgensen,165.1,61,66,Orthodox,3.37,40.0,3.41,65.0,2.61,59.0,0.7,Lightweight,45.0
616,Dwight Joseph,167.64000000000001,61,69,Switch,2.6,52.0,2.87,55.0,1.0,20.0,1.0,Lightweight,20.0
617,Byron Bloodworth,172.72,61,69,Orthodox,1.82,28.0,5.18,50.0,0.0,62.15,0.0,Lightweight,43.63
618,Heili Alateng,165.1,61,66,Orthodox,2.87,32.0,5.82,57.0,2.33,100.0,0.0,Lightweight,35.0
619,Clint Godfrey,167.64000000000001,61,69,Southpaw,0.57,31.0,0.96,65.0,0.85,50.0,0.0,Lightweight,25.0
620,Frank Gomez,177.8,61,67,Southpaw,1.52,48.0,0.79,66.0,1.14,70.0,0.8,Lightweight,60.0
621,Drako Rodriguez,172.72,61,69,Orthodox,2.57,35.0,2.57,26.0,2.75,62.15,2.8,Lightweight,100.0
622,Cody Gibson,177.8,61,71,Orthodox,2.47,31.0,2.54,63.0,1.85,58.0,0.4,Lightweight,38.0
623,Anthony Figueroa,162.56,61,69,Orthodox,2.37,48.0,3.77,49.0,0.0,58.0,0.0,Lightweight,43.63
624,Danny Sabatello,177.8,61,71,Southpaw,2.07,57.0,0.2,25.0,3.0,100.0,1.0,Lightweight,75.0
625,Jimmie Rivera,162.56,61,68,Southpaw,4.03,40.0,3.9,60.0,0.88,92.0,0.1,Lightweight,27.0
626,Ronnie Lawrence,172.72,61,68,Switch,3.8,58.0,1.09,61.0,10.86,100.0,0.5,Lightweight,76.0
627,Marlon Vera,172.72,61,70,Switch,3.65,49.0,3.95,52.0,0.78,70.0,1.1,Lightweight,37.0
628,Hugo Viana,167.64000000000001,61,67,Orthodox,3.05,38.0,3.2,57.0,0.22,50.0,0.0,Lightweight,6.0
629,Davey Grant,172.72,61,69,Southpaw,3.93,47.0,2.47,63.0,2.3,66.0,0.2,Lightweight,45.0
630,Tony Gravely,165.1,61,69,Southpaw,3.69,55.0,3.16,42.0,5.6,50.0,0.8,Lightweight,51.0
631,James Gray,175.26,61,69,Orthodox,2.61,50.0,18.26,44.0,0.0,62.15,0.0,Lightweight,43.63
632,LC Davis,172.72,61,69,Southpaw,2.04,30.0,2.1,59.0,2.27,66.0,0.2,Lightweight,46.0
633,Alexis Davis,167.64000000000001,61,68,Orthodox,4.18,47.0,4.18,55.0,0.94,34.0,0.8,Lightweight,40.0
634,Chad George,167.64000000000001,61,68,Southpaw,1.26,50.0,1.11,65.0,3.08,62.15,1.3,Lightweight,46.0
635,Fabian Gonzalez,177.8,61,69,Orthodox,3.9,48.0,4.39,51.0,0.0,66.0,0.0,Lightweight,43.63
636,Rani Yahya,167.64000000000001,61,67,Orthodox,1.57,37.0,1.7,50.0,2.89,24.0,2.0,Lightweight,33.0
637,Joe Warren,167.64000000000001,61,69,Orthodox,2.15,46.0,2.39,52.0,6.14,60.0,0.0,Lightweight,46.0
638,John Yoo,172.22,61,69,Orthodox,0.0,41.98,0.0,54.52,0.0,62.15,0.0,Lightweight,43.63
639,Adrian Yanez,170.18,61,70,Southpaw,4.69,44.0,2.31,55.0,0.0,100.0,0.0,Lightweight,43.63
640,Jong Man Kim,170.18,63,69,Orthodox,1.33,21.0,3.0,60.0,0.0,62.15,0.0,Lightweight,43.63
641,Jong Won Kim,170.18,63,69,Orthodox,0.84,15.0,3.28,63.0,2.81,62.15,0.0,Lightweight,100.0
642,Bibiano Fernandes,170.18,63,69,Southpaw,2.91,40.0,2.02,72.0,3.97,77.0,0.6,Lightweight,53.0
643,Masakazu Imanari,162.56,63,69,Southpaw,0.55,30.0,1.74,57.0,0.0,62.15,2.1,Lightweight,43.63
644,Daiki Hata,167.64000000000001,63,69,Southpaw,1.44,39.0,1.42,55.0,0.67,35.0,0.7,Lightweight,100.0
645,Akiyo Nishiura,172.72,63,69,Southpaw,1.59,57.0,1.26,57.0,0.0,52.0,0.3,Lightweight,43.63
646,Keisuke Fujiwara,167.64000000000001,63,69,Switch,0.73,44.0,1.2,47.0,0.0,23.0,2.5,Lightweight,43.63
647,Yoshiro Maeda,170.18,63,68,Southpaw,2.36,33.0,2.55,63.0,2.93,50.0,0.7,Lightweight,51.0
648,Tomoya Miyashita,170.18,63,69,Southpaw,1.67,65.0,0.93,33.0,4.0,62.15,2.0,Lightweight,80.0
649,Abel Cullum,170.18,63,69,Southpaw,1.82,40.0,1.23,46.0,4.01,62.15,2.8,Lightweight,52.0
650,Kazuyuki Miyata,172.72,63,69,Southpaw,2.04,52.0,1.82,63.0,4.31,68.0,0.0,Lightweight,46.0
651,Hiroyuki Takaya,167.64000000000001,63,69,Southpaw,3.18,33.0,3.16,60.0,0.9,66.0,0.0,Lightweight,45.0
652,Federico Lopez,162.56,63,69,Orthodox,1.78,23.0,5.35,30.0,0.0,62.15,0.0,Lightweight,43.63
653,Shoji Maruyama,170.18,63,69,Southpaw,1.4,63.0,0.27,55.0,0.0,54.0,0.0,Lightweight,43.63
654,Takafumi Otsuka,167.64000000000001,63,69,Orthodox,1.29,27.0,2.12,67.0,1.64,65.0,0.0,Lightweight,27.0
655,Atsushi Yamamoto,167.64000000000001,63,69,Southpaw,1.97,39.0,1.27,70.0,1.12,100.0,0.0,Lightweight,33.0
656,Takeshi Yamazaki,172.72,63,69,Southpaw,0.57,25.0,1.57,47.0,4.5,100.0,1.0,Lightweight,50.0
657,Young Sam Jung,172.72,63,69,Orthodox,0.53,9.0,2.79,63.0,0.0,62.15,2.0,Lightweight,43.63
658,Kazuhisa Watanabe,167.64000000000001,63,69,Orthodox,0.62,50.0,0.94,54.52,0.0,14.0,0.0,Lightweight,43.63
659,Nathaniel Wood,167.64000000000001,63,69,Southpaw,6.28,46.0,4.36,53.0,1.29,75.0,0.9,Lightweight,46.0
660,Casey Kenney,170.18,63,68,Southpaw,4.81,42.0,4.3,59.0,1.1,59.0,0.5,Lightweight,39.0
661,Trevin Jones,170.18,63,70,Southpaw,3.84,61.0,6.81,35.0,1.17,62.15,0.0,Lightweight,20.0
662,Gary Quan,172.72,64,69,Orthodox,0.0,41.98,0.0,54.52,0.0,62.15,0.0,Lightweight,43.63
663,Stephen Palling,162.56,64,69,Orthodox,0.0,41.98,0.0,54.52,0.0,62.15,0.0,Lightweight,43.63
664,Yokthai Sithoar,170.18,64,69,Orthodox,0.0,41.98,0.0,54.52,0.0,62.15,0.0,Lightweight,43.63
665,Brian Davidson,167.64000000000001,65,69,Orthodox,0.0,41.98,0.0,54.52,0.0,62.15,0.0,Lightweight,43.63
666,Toby Misech,172.72,65,69,Southpaw,3.27,40.0,7.73,46.0,0.0,62.15,0.0,Lightweight,43.63
667,Bobby Moffett,177.8,65,73,Southpaw,3.41,39.0,3.15,61.0,2.74,66.0,1.4,Lightweight,66.0
668,Suman Mokhtarian,172.72,65,72,Orthodox,2.21,43.0,6.85,48.0,0.0,62.15,0.0,Lightweight,43.63
669,Jason McLean,165.1,65,69,Orthodox,0.0,41.98,0.0,54.52,0.0,62.15,0.0,Lightweight,43.63
670,Hakeem Dawodu,172.72,65,73,Southpaw,5.15,47.0,2.31,63.0,0.0,85.0,0.0,Lightweight,43.63
671,Grant Dawson,177.8,65,72,Switch,3.4,48.0,2.1,51.0,3.44,40.0,1.6,Lightweight,34.0
672,Martin Day,177.8,65,73,Southpaw,3.97,45.0,3.79,53.0,0.72,65.0,0.5,Lightweight,60.0
673,Maurice Mitchell,175.26,65,69,Southpaw,3.8,55.0,3.54,60.0,0.0,100.0,0.0,Lightweight,43.63
674,Bryce Mitchell,177.8,65,70,Southpaw,2.29,61.0,1.46,60.0,3.26,33.0,2.3,Lightweight,46.0
675,Eiji Mitsuoka,170.18,65,69,Southpaw,1.49,49.0,2.26,45.0,2.3,20.0,1.6,Lightweight,36.0
676,Ryan Hall,177.8,65,70,Southpaw,2.32,43.0,0.96,75.0,0.31,62.15,0.9,Lightweight,16.0
677,Cole Miller,185.42,65,73,Orthodox,3.0,33.0,3.88,59.0,0.6,38.0,1.8,Lightweight,36.0
678,Chris Mickle,175.26,65,69,Orthodox,3.03,27.0,9.7,48.0,0.0,62.15,0.0,Lightweight,43.63
679,Micah Miller,182.88,65,69,Orthodox,1.33,33.0,2.15,54.0,0.98,21.0,2.0,Lightweight,37.0
680,Aaron Miller,175.26,65,69,Orthodox,0.0,41.98,0.0,54.52,0.0,62.15,0.0,Lightweight,43.63
681,Sheymon Moraes,172.72,65,72,Orthodox,3.0,42.0,3.64,63.0,0.0,53.0,0.0,Lightweight,43.63
682,Anthony Morrison,170.18,65,69,Southpaw,1.7,33.0,0.49,80.0,0.0,50.0,0.0,Lightweight,43.63
683,JR Coughran,167.64000000000001,65,69,Southpaw,12.29,57.0,6.8,45.0,0.0,75.0,0.0,Lightweight,43.63
684,Anistavio Medeiros,167.64000000000001,65,69,Orthodox,3.64,44.0,5.0,47.0,0.0,62.15,0.0,Lightweight,43.63
685,Pat Curran,175.26,65,69,Southpaw,4.7,58.0,4.4,63.0,2.5,66.0,0.0,Lightweight,62.0
686,Marcos da Matta,162.56,65,69,Orthodox,0.0,41.98,0.0,54.52,0.0,62.15,0.0,Lightweight,43.63
687,Sarah D'alelio,170.18,65,69,Southpaw,2.4,33.0,0.0,100.0,0.0,100.0,0.0,Lightweight,43.63
688,Brad Mitchell,180.34,65,69,Orthodox,1.15,33.0,4.2,52.0,0.0,100.0,1.9,Lightweight,43.63
689,Mike Grundy,170.18,65,72,Orthodox,2.15,43.0,4.09,58.0,4.25,100.0,0.6,Lightweight,38.0
690,Zabit Magomedsharipov,185.42,65,73,Southpaw,4.89,48.0,3.0,64.0,5.22,77.0,0.8,Lightweight,56.0
691,Michelle Maher,172.22,65,69,Orthodox,0.0,41.98,0.0,54.52,0.0,62.15,0.0,Lightweight,43.63
692,Mike de la Torre,180.34,65,71,Orthodox,3.21,39.0,4.75,51.0,0.36,83.0,0.0,Lightweight,16.0
693,Vince Morales,170.18,65,70,Southpaw,4.22,39.0,4.16,53.0,0.0,55.0,0.0,Lightweight,43.63
694,Omar Morales,180.34,65,73,Southpaw,3.39,34.0,2.99,65.0,0.29,100.0,0.0,Lightweight,100.0
695,Jesse Moreng,170.18,65,69,Orthodox,1.26,40.0,2.08,48.0,5.56,100.0,0.0,Lightweight,100.0
696,Johnny Munoz,175.26,65,71,Southpaw,3.27,62.0,1.4,58.0,2.0,62.15,1.0,Lightweight,12.0
697,Eddie Yagin,170.18,65,69,Orthodox,3.13,30.0,5.77,42.0,0.0,62.0,1.0,Lightweight,43.63
698,Daniel Weichel,177.8,65,70,Southpaw,5.71,42.0,4.05,61.0,0.84,83.0,0.0,Lightweight,50.0
699,Joe Wilk,175.26,65,69,Orthodox,1.0,54.0,2.0,72.0,0.0,62.15,0.0,Lightweight,43.63
700,Mike Wilkinson,170.18,65,66,Orthodox,2.35,38.0,3.7,35.0,0.92,55.0,0.9,Lightweight,14.0
701,Sean Wilson,172.72,65,69,Orthodox,1.01,31.0,5.88,62.0,0.0,62.15,0.0,Lightweight,43.63
702,Rafael Alves,172.72,65,68,Orthodox,2.02,45.0,3.66,59.0,0.0,100.0,1.9,Lightweight,43.63
703,Elaina Maxwell,172.72,65,69,Orthodox,2.07,60.0,2.4,53.0,0.0,50.0,1.0,Lightweight,43.63
704,Issac DeJesus,172.22,65,69,Orthodox,0.0,41.98,0.0,54.52,0.0,62.15,0.0,Lightweight,43.63
705,Javier Vazquez,170.18,65,69,Southpaw,2.43,36.0,1.99,72.0,2.56,57.0,1.5,Lightweight,52.0
706,David Velasquez,165.1,65,69,Orthodox,0.0,41.98,0.0,54.52,0.0,62.15,0.0,Lightweight,43.63
707,Austin Arnett,182.88,65,72,Orthodox,4.52,41.0,6.38,62.0,0.44,57.0,0.2,Lightweight,18.0
708,Milton Vieira,182.88,65,69,Orthodox,1.13,35.0,2.36,48.0,2.67,12.0,0.7,Lightweight,53.0
709,Alejandro Villalobos,170.18,65,69,Orthodox,3.93,46.0,4.07,67.0,1.0,62.15,0.0,Lightweight,50.0
710,Alexander Volkanovski,167.64000000000001,65,71,Southpaw,6.02,55.0,3.31,60.0,2.09,72.0,0.3,Lightweight,34.0
711,Thomas Almeida,170.18,65,70,Southpaw,5.39,44.0,4.69,64.0,0.0,75.0,0.0,Lightweight,43.63
712,Julio Arce,170.18,65,70,Southpaw,4.25,36.0,2.87,67.0,0.58,93.0,0.6,Lightweight,30.0
713,Art Arciniega,172.72,65,69,Orthodox,1.53,46.0,2.73,51.0,0.0,50.0,1.0,Lightweight,43.63
714,Megan Anderson,182.88,65,72,Orthodox,1.76,46.0,3.35,37.0,0.52,53.0,0.5,Lightweight,25.0
715,Collin Anglin,175.26,65,71,Southpaw,5.87,55.0,3.47,58.0,3.0,100.0,0.0,Lightweight,75.0
716,Kenji Arai,177.8,65,69,Southpaw,8.79,27.0,10.29,39.0,0.0,62.15,0.0,Lightweight,43.63
717,Goiti Yamauchi,177.8,65,69,Southpaw,1.66,54.0,1.01,66.0,0.0,62.15,4.3,Lightweight,43.63
718,Kron Gracie,175.26,65,70,Southpaw,5.15,41.0,8.13,53.0,0.88,62.15,0.9,Lightweight,25.0
719,Josh Grispi,180.34,65,74,Orthodox,1.44,41.0,3.71,50.0,1.97,16.0,2.2,Lightweight,36.0
720,Wang Guan,175.26,65,71,Southpaw,4.73,43.0,3.27,60.0,0.0,62.15,0.0,Lightweight,43.63
721,Tiago dos Santos e Silva,175.26,65,70,Orthodox,3.69,35.0,4.23,59.0,0.63,33.0,0.3,Lightweight,11.0
722,Fabricio Guerreiro,177.8,65,69,Orthodox,1.87,31.0,2.2,67.0,2.0,62.15,0.0,Lightweight,50.0
723,Horacio Gutierrez,177.8,65,69,Orthodox,0.86,26.0,2.91,46.0,0.0,50.0,0.0,Lightweight,43.63
724,Chris Gutierrez,175.26,65,67,Southpaw,4.3,57.0,2.45,59.0,0.57,73.0,0.2,Lightweight,60.0
725,Alfonso Alcarez,160.02,65,69,Orthodox,0.0,41.98,0.0,54.52,0.0,62.15,0.0,Lightweight,43.63
726,Alex Gilpin,170.18,65,69,Orthodox,6.8,54.0,12.29,42.0,2.17,62.15,2.2,Lightweight,25.0
727,Yazan Hajeh,175.26,65,69,Orthodox,1.54,25.0,17.44,44.0,0.0,100.0,0.0,Lightweight,43.63
728,Arnold Allen,172.72,65,70,Southpaw,3.19,41.0,2.0,67.0,1.36,76.0,0.5,Lightweight,52.0
729,Amanda Nunes,172.72,65,69,Southpaw,4.5,51.0,2.45,57.0,2.5,84.0,0.9,Lightweight,53.0
730,Phillipe Nover,175.26,65,72,Orthodox,1.79,35.0,2.48,56.0,0.99,44.0,0.7,Lightweight,28.0
731,Diego Nunes,167.64000000000001,65,67,Southpaw,2.72,43.0,2.59,58.0,1.18,65.0,0.6,Lightweight,44.0
732,Andy Ogle,172.72,65,69,Southpaw,2.24,44.0,2.23,50.0,1.44,58.0,0.0,Lightweight,26.0
733,Gabrielle Holloway,160.02,65,69,Orthodox,0.7,42.0,3.07,34.0,3.0,16.0,1.0,Lightweight,35.0
734,Shana Olsen,170.18,65,69,Orthodox,0.0,41.98,0.0,54.52,0.0,62.15,0.0,Lightweight,43.63
735,Casey Olson,170.18,65,69,Southpaw,2.48,60.0,0.0,100.0,3.54,100.0,1.8,Lightweight,57.0
736,Michihiro Omigawa,167.64000000000001,65,68,Orthodox,2.01,39.0,3.06,64.0,1.19,49.0,1.5,Lightweight,36.0
737,Alan Omer,177.8,65,69,Southpaw,3.49,55.0,2.21,64.0,1.69,66.0,0.0,Lightweight,42.0
738,Brian Ortega,172.72,65,69,Switch,4.29,38.0,6.28,52.0,0.8,56.0,1.1,Lightweight,21.0
739,Josh Clopton,167.64000000000001,65,69,Orthodox,1.6,64.0,2.87,50.0,2.0,75.0,0.0,Lightweight,66.0
740,Marloes Coenen,175.26,65,67,Southpaw,2.15,51.0,1.9,67.0,0.82,41.0,2.5,Lightweight,30.0
741,Clay Collard,180.34,65,73,Orthodox,4.22,32.0,5.0,50.0,2.81,71.0,0.5,Lightweight,39.0
742,Dinis Paiva Jr.,175.26,65,71,Southpaw,2.6,41.0,2.73,67.0,0.0,81.0,0.0,Lightweight,43.63
743,Ode Osbourne,170.18,65,73,Southpaw,4.3,54.0,3.04,42.0,1.9,66.0,1.9,Lightweight,100.0
744,Aalon Cruz,182.88,65,78,Switch,7.58,39.0,8.88,58.0,0.0,62.15,0.0,Lightweight,43.63
745,Ernest Chavez,172.72,65,70,Orthodox,2.79,40.0,3.89,59.0,0.89,50.0,0.0,Lightweight,33.0
746,Danny Chavez,172.72,65,67,Orthodox,2.93,39.0,4.17,53.0,2.5,84.0,0.0,Lightweight,100.0
747,Mark Cherico,170.18,65,69,Orthodox,3.69,34.0,7.37,56.0,5.03,62.15,0.0,Lightweight,50.0
748,Giga Chikadze,182.88,65,74,Southpaw,3.45,43.0,2.65,60.0,0.38,68.0,0.0,Lightweight,33.0
749,Dooho Choi,177.8,65,70,Orthodox,5.32,51.0,6.38,53.0,0.41,50.0,0.0,Lightweight,20.0
750,SeungWoo Choi,182.88,65,74,Southpaw,3.17,41.0,2.45,46.0,1.03,66.0,0.0,Lightweight,57.0
751,Will Chope,193.04,65,69,Switch,4.43,27.0,9.93,46.0,0.0,62.15,0.0,Lightweight,43.63
752,Makwan Amirkhani,177.8,65,72,Southpaw,1.42,44.0,2.63,51.0,3.37,57.0,1.4,Lightweight,37.0
753,Jordan Parsons,175.26,65,69,Southpaw,3.29,40.0,2.37,60.0,1.54,50.0,1.0,Lightweight,21.0
754,Russell Patrick,175.26,65,69,Orthodox,0.0,41.98,0.0,54.52,0.0,62.15,0.0,Lightweight,43.63
755,Emilio Chavez,175.26,65,69,Southpaw,2.73,48.0,1.53,54.0,3.0,62.15,0.0,Lightweight,50.0
756,Nik Lentz,172.72,65,68,Southpaw,3.44,47.0,3.25,50.0,3.3,43.0,1.2,Lightweight,32.0
757,Ricardo Lamas,172.72,65,71,Southpaw,3.13,47.0,2.87,57.0,1.84,46.0,0.9,Lightweight,33.0
758,Nate Landwehr,175.26,65,72,Orthodox,7.02,50.0,7.67,51.0,0.0,85.0,0.0,Lightweight,43.63
759,TJ Laramie,167.64000000000001,65,66,Orthodox,2.73,51.0,3.24,26.0,2.56,62.15,0.0,Lightweight,50.0
760,Thanh Le,175.26,65,74,Southpaw,1.97,40.0,1.82,70.0,0.0,100.0,0.0,Lightweight,43.63
761,Stephen Ledbetter,175.26,65,69,Orthodox,1.2,38.0,1.6,57.0,5.0,100.0,0.0,Lightweight,45.0
762,Tommy Lee,170.18,65,69,Orthodox,0.0,41.98,0.3,75.0,4.57,62.15,0.0,Lightweight,33.0
763,Rocky Lee,175.26,65,69,Orthodox,2.47,51.0,5.33,44.0,1.0,33.0,0.0,Lightweight,10.0
764,Rolando Dy,172.72,65,69,Orthodox,3.04,37.0,4.47,52.0,0.3,68.0,0.0,Lightweight,20.0
765,Adin Duenas,167.64000000000001,65,69,Orthodox,0.0,41.98,0.0,54.52,0.0,62.15,0.0,Lightweight,43.63
766,Godofredo Pepey,170.18,65,73,Orthodox,2.32,38.0,3.23,47.0,0.37,35.0,1.5,Lightweight,7.0
767,Jose Palacios,175.26,65,69,Southpaw,2.67,70.0,1.0,79.0,0.0,50.0,1.7,Lightweight,43.63
768,Ricky Palacios,167.64000000000001,65,69,Southpaw,7.73,53.0,3.27,59.0,0.0,100.0,0.0,Lightweight,43.63
769,Fredson Paixao,167.64000000000001,65,66,Orthodox,1.71,54.0,2.31,62.0,0.62,10.0,2.2,Lightweight,11.0
770,Bart Palaszewski,175.26,65,70,Orthodox,2.67,32.0,3.97,57.0,0.65,53.0,0.5,Lightweight,31.0
771,Estevan Payan,177.8,65,69,Southpaw,4.25,42.0,3.58,57.0,0.36,60.0,0.4,Lightweight,100.0
772,Jonathan Pearce,182.88,65,71,Switch,8.8,55.0,6.65,46.0,5.91,75.0,0.7,Lightweight,60.0
773,Joe Pearson,177.8,65,69,Orthodox,0.59,18.0,3.51,33.0,0.0,62.15,4.4,Lightweight,43.63
774,Drew Pendleton,172.22,65,69,Orthodox,0.0,41.98,0.0,54.52,0.0,62.15,0.0,Lightweight,43.63
775,Robert Whiteford,175.26,65,69,Southpaw,2.33,46.0,1.99,62.0,1.9,45.0,0.0,Lightweight,30.0
776,Antonio Carvalho,175.26,65,70,Orthodox,3.03,29.0,3.62,64.0,0.0,100.0,0.0,Lightweight,43.63
777,Bendy Casimir,165.1,65,69,Southpaw,0.74,27.0,3.42,54.0,0.0,100.0,0.0,Lightweight,43.63
778,Eric Castile,172.72,65,69,Orthodox,0.0,41.98,0.0,54.52,0.0,62.15,0.0,Lightweight,43.63
779,Alejandro Perez,167.64000000000001,65,67,Southpaw,3.52,35.0,2.94,64.0,0.52,73.0,0.1,Lightweight,20.0
780,Peter Petties,180.34,65,72,Southpaw,2.61,29.0,8.24,48.0,0.0,62.15,0.0,Lightweight,43.63
781,Steven Peterson,177.8,65,70,Orthodox,4.65,35.0,5.89,56.0,2.02,75.0,0.4,Lightweight,28.0
782,Daniel Pineda,170.18,65,69,Southpaw,3.41,49.0,2.72,44.0,1.55,44.0,1.8,Lightweight,29.0
783,Robert Peralta,172.72,65,71,Southpaw,3.76,44.0,2.97,53.0,0.59,65.0,0.0,Lightweight,66.0
